food_name,diet_tags,mood_tags,allergens,best_time_to_eat,description
Vegetable mix,Vegan,Balanced Mood,None,Snack,Vegetable mix is suitable for a vegan diet and supports balanced mood.
Lentils and wheat porridge (Dal wheat porridge/daliya ),"Vegan, Vegetarian",Balanced Mood,Gluten,"Lunch, Dinner","Lentils and wheat porridge (Dal wheat porridge/daliya ) is suitable for a vegan, vegetarian diet and supports balanced mood."
Maize porridge,"Vegan, Vegetarian",Craving,None,Snack,Maize porridge is suitable for a general diet and supports neutral mood.
Spinach peanut burfi (Palak aur mungfali ki burfi),"Vegan, Vegetarian",Happy,Nuts,Dinner,Spinach peanut burfi (Palak aur mungfali ki burfi) is suitable for a general diet and supports neutral mood.
Split bengal gram burfi/fudge (Channa dal burfi),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Split bengal gram burfi/fudge (Channa dal burfi) is suitable for a vegan, vegetarian diet and supports balanced mood."
Chickpea flour cookies (Sweet besan rounds/cookies),"Vegan, Vegetarian",Happy,None,Breakfast,Chickpea flour cookies (Sweet besan rounds/cookies) is suitable for a general diet and supports neutral mood.
Pearl millet mathri (Bajra mathri),"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Pearl millet mathri (Bajra mathri) is suitable for a general diet and supports neutral mood.
Sesame biscuit (Til ke biscuit),"Vegan, Vegetarian",Stressed,None,Breakfast,Sesame biscuit (Til ke biscuit) is suitable for a general diet and supports neutral mood.
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada) is suitable for a vegan, vegetarian diet and supports balanced mood."
Poshtik namak paras,"Vegan, Vegetarian",Happy,None,Snack,Poshtik namak paras is suitable for a general diet and supports neutral mood.
Soya chikki,Vegan,Depressed Mood,Soy,Lunch,Soya chikki is suitable for a vegan diet and supports neutral mood.
Besan bathua chilla/cheela,"Vegan, Vegetarian",Craving,None,Lunch,Besan bathua chilla/cheela is suitable for a general diet and supports neutral mood.
Wheat flour and nuts ladoos (Atta nuts ladoos),Mediterranean,Happy,"Gluten, Nuts",Snack,Wheat flour and nuts ladoos (Atta nuts ladoos) is suitable for a general diet and supports happy.
Gram flour and semolina dhokla (Besan suji dhokla),"Vegan, Vegetarian",Craving,None,Lunch,Gram flour and semolina dhokla (Besan suji dhokla) is suitable for a general diet and supports neutral mood.
Atta dal burfi ,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Atta dal burfi  is suitable for a vegan, vegetarian diet and supports balanced mood."
Soya roti,Vegan,Balanced Mood,"Gluten, Soy","Lunch, Dinner",Soya roti is suitable for a vegan diet and supports balanced mood.
Poshtik khichdi/khichri,"Vegan, Vegetarian",Craving,None,Breakfast,Poshtik khichdi/khichri is suitable for a general diet and supports neutral mood.
Namkeen daliya,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Namkeen daliya is suitable for a vegan, vegetarian diet and supports balanced mood."
Sprouts upma ,Vegetarian,Stressed,None,Breakfast,Sprouts upma  is suitable for a vegetarian diet and supports neutral mood.
Semolina idli (Suji/Rava idli),"Vegan, Vegetarian",Happy,None,Breakfast,Semolina idli (Suji/Rava idli) is suitable for a general diet and supports neutral mood.
Poshtik chilla/cheela,"Vegan, Vegetarian",Craving,None,Breakfast,Poshtik chilla/cheela is suitable for a general diet and supports neutral mood.
Stuffed bittergourd (dry) (Bharwa karela),"Vegan, Vegetarian",Happy,None,Snack,Stuffed bittergourd (dry) (Bharwa karela) is suitable for a general diet and supports neutral mood.
Cauliflower potato canjee,"Vegan, Vegetarian",Stressed,None,Snack,Cauliflower potato canjee is suitable for a general diet and supports neutral mood.
Creamed spinach,"Keto, Vegan, Vegetarian",Craving,None,Dinner,Creamed spinach is suitable for a general diet and supports neutral mood.
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),Vegetarian,"Happy, Tired & Anxious, Depressed Mood",Lactose / Dairy,Snack,"Mango milkshake with ice cream (Aam milkshake ice cream ke saath) is suitable for a vegetarian diet and supports happy, tired & anxious, depressed mood."
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),Vegetarian,"Happy, Tired & Anxious",Lactose / Dairy,Snack,"Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath) is suitable for a vegetarian diet and supports happy, tired & anxious."
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),Vegetarian,"Happy, Tired & Anxious",Lactose / Dairy,Snack,"Orange milkshake with ice cream (Narangi milkshake ice cream ke saath) is suitable for a vegetarian diet and supports happy, tired & anxious."
Woodapple juice (Bel ka sharbat),"Vegan, Vegetarian",Stressed,None,Lunch,Woodapple juice (Bel ka sharbat) is suitable for a general diet and supports neutral mood.
Sattu drink,"Vegan, Vegetarian",Craving,None,Breakfast,Sattu drink is suitable for a general diet and supports neutral mood.
Apple and honey sorbet (Seb aur shehad ka sharbat),"Vegan, Vegetarian",Happy,None,Snack,Apple and honey sorbet (Seb aur shehad ka sharbat) is suitable for a general diet and supports neutral mood.
Thandai,"Vegan, Vegetarian",Stressed,None,Breakfast,Thandai is suitable for a general diet and supports neutral mood.
Cucumber sharbat (Kheere ka sharbat),"Vegan, Vegetarian",Happy,None,Breakfast,Cucumber sharbat (Kheere ka sharbat) is suitable for a general diet and supports happy.
Apple oats chia seed smoothie,"Vegan, Vegetarian",Happy,None,Breakfast,Apple oats chia seed smoothie is suitable for a general diet and supports neutral mood.
Nannari sharbat,"Vegan, Vegetarian",Craving,None,Lunch,Nannari sharbat is suitable for a general diet and supports neutral mood.
Semolina milk drink (Thari kanji),Vegetarian,Depressed Mood,Lactose / Dairy,Snack,Semolina milk drink (Thari kanji) is suitable for a vegetarian diet and supports neutral mood.
Saffron milk (Kesariya doodh),Vegetarian,Energetic & Calm,Lactose / Dairy,Breakfast,Saffron milk (Kesariya doodh) is suitable for a vegetarian diet and supports neutral mood.
Black rice kheer (Chak-hao kheer),Vegan,"Happy, Balanced Mood",None,Lunch,"Black rice kheer (Chak-hao kheer) is suitable for a vegan diet and supports happy, balanced mood."
Coconut kheer (Nariyal ki kheer),"Vegan, Vegetarian",Happy,None,Snack,Coconut kheer (Nariyal ki kheer) is suitable for a general diet and supports happy.
Apple sago payasam (Seb aur sabudana ki kheer),"Vegan, Vegetarian",Happy,None,Breakfast,Apple sago payasam (Seb aur sabudana ki kheer) is suitable for a general diet and supports happy.
Kesari bath,"Vegan, Vegetarian",Happy,None,Lunch,Kesari bath is suitable for a general diet and supports neutral mood.
Putharekulu,"Vegan, Vegetarian",Happy,None,Breakfast,Putharekulu is suitable for a general diet and supports neutral mood.
Mango malpua,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Mango malpua is suitable for a general diet and supports depressed mood.
Mango vanilla custard,"Vegan, Vegetarian",Depressed Mood,None,Snack,Mango vanilla custard is suitable for a general diet and supports depressed mood.
Kiwi granola pudding,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Kiwi granola pudding is suitable for a general diet and supports neutral mood.
Oats burfi,"Vegan, Vegetarian",Craving,None,Lunch,Oats burfi is suitable for a general diet and supports neutral mood.
Lotus seed halwa (Kamal gattay ka halwa),"Vegan, Vegetarian",Happy,None,Breakfast,Lotus seed halwa (Kamal gattay ka halwa) is suitable for a general diet and supports happy.
Amaranth ladoo (Rajgira ladoo),"Vegan, Vegetarian",Happy,Nuts,Snack,Amaranth ladoo (Rajgira ladoo) is suitable for a general diet and supports happy.
Chhena poda,"Vegan, Vegetarian",Craving,None,Snack,Chhena poda is suitable for a general diet and supports neutral mood.
Sweet couscous dessert,"Vegan, Vegetarian",Happy,None,Snack,Sweet couscous dessert is suitable for a general diet and supports happy.
Sweetened yogurt (Shrikhand),Vegetarian,Depressed Mood,None,Lunch,Sweetened yogurt (Shrikhand) is suitable for a general diet and supports depressed mood.
Thickened sweetened milk (Rabri),Vegetarian,Energetic & Calm,Lactose / Dairy,Breakfast,Thickened sweetened milk (Rabri) is suitable for a vegetarian diet and supports neutral mood.
Gram flour halwa (Besan halwa),"Vegan, Vegetarian",Happy,None,Lunch,Gram flour halwa (Besan halwa) is suitable for a general diet and supports happy.
Prawn sandwich,"Pescatarian, Raw Food",Craving,Seafood / Shellfish,Snack,Prawn sandwich is suitable for a pescatarian diet and supports neutral mood.
Watercress sandwich,"Vegan, Vegetarian",Happy,None,Dinner,Watercress sandwich is suitable for a general diet and supports neutral mood.
Fish sandwich ,"Keto, Mediterranean, Pescatarian",Stressed,Seafood / Shellfish,Snack,"Fish sandwich  is suitable for a keto, pescatarian diet and supports neutral mood."
Kidney bean sandwich with cottage cheese,Vegetarian,Happy,Lactose / Dairy,Dinner,Kidney bean sandwich with cottage cheese is suitable for a vegetarian diet and supports neutral mood.
Finger millet biscuit (Ragi biscuit),"Vegan, Vegetarian",Depressed Mood,None,Lunch,Finger millet biscuit (Ragi biscuit) is suitable for a general diet and supports neutral mood.
Buttermilk biscuit,"Keto, Vegetarian",Depressed Mood,Lactose / Dairy,Dinner,"Buttermilk biscuit is suitable for a keto, vegetarian diet and supports depressed mood."
Lemon cookies,"Vegan, Vegetarian",Stressed,None,Dinner,Lemon cookies is suitable for a general diet and supports neutral mood.
Sweet potato biscuit (Shakarkand ke biscuit),"Vegan, Vegetarian",Depressed Mood,None,Snack,Sweet potato biscuit (Shakarkand ke biscuit) is suitable for a general diet and supports neutral mood.
Raspberry shortbread cookies,"Vegan, Vegetarian",Depressed Mood,Gluten,Dinner,Raspberry shortbread cookies is suitable for a general diet and supports neutral mood.
Pumpkin cookies ,"Vegan, Vegetarian",Happy,None,Dinner,Pumpkin cookies  is suitable for a general diet and supports neutral mood.
Greenpea cookies,"Vegan, Vegetarian",Craving,None,Lunch,Greenpea cookies is suitable for a general diet and supports neutral mood.
Sunflower cookies,"Vegan, Vegetarian",Depressed Mood,None,Snack,Sunflower cookies is suitable for a general diet and supports neutral mood.
Cardamom cookies (Elaichi cookies),"Vegan, Vegetarian",Depressed Mood,None,Lunch,Cardamom cookies (Elaichi cookies) is suitable for a general diet and supports neutral mood.
Hazelnut cookies,"Vegan, Vegetarian",Happy,None,Dinner,Hazelnut cookies is suitable for a general diet and supports neutral mood.
Milk cookies,Vegetarian,Stressed,Lactose / Dairy,Snack,Milk cookies is suitable for a vegetarian diet and supports neutral mood.
Cranberry cookies,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Cranberry cookies is suitable for a general diet and supports neutral mood.
Olive biscuit,"Vegan, Vegetarian",Depressed Mood,None,Snack,Olive biscuit is suitable for a general diet and supports neutral mood.
Tutti fruitti biscuit,Vegan,Depressed Mood,None,Breakfast,Tutti fruitti biscuit is suitable for a vegan diet and supports depressed mood.
Peach blueberry preserves,"Vegan, Vegetarian",Stressed,None,Dinner,Peach blueberry preserves is suitable for a general diet and supports neutral mood.
Pear preserves (Naashpati ka murabba),"Vegan, Vegetarian",Craving,None,Snack,Pear preserves (Naashpati ka murabba) is suitable for a general diet and supports neutral mood.
Starfruit preserves ,Vegan,Depressed Mood,None,Lunch,Starfruit preserves  is suitable for a vegan diet and supports depressed mood.
Gooseberry pickle (Amla ka achaar),"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Gooseberry pickle (Amla ka achaar) is suitable for a general diet and supports neutral mood.
Lotus stem pickle (Kamal kakdi ka achar),"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Lotus stem pickle (Kamal kakdi ka achar) is suitable for a general diet and supports neutral mood.
Date pickle (Khajoor ka achaar),"Vegan, Vegetarian",Craving,None,Dinner,Date pickle (Khajoor ka achaar) is suitable for a general diet and supports neutral mood.
Garlic pickle (Lahasun ka achar),"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Garlic pickle (Lahasun ka achar) is suitable for a general diet and supports neutral mood.
Fermented bamboo shoot pickle (Mesu pickle),"Vegan, Vegetarian",Energetic & Calm,None,Snack,Fermented bamboo shoot pickle (Mesu pickle) is suitable for a general diet and supports neutral mood.
Sweet peach pickle (Aadoo ka achaar),"Vegan, Vegetarian",Stressed,None,Breakfast,Sweet peach pickle (Aadoo ka achaar) is suitable for a general diet and supports neutral mood.
Pickled mustard greens ,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Pickled mustard greens  is suitable for a general diet and supports neutral mood.
Small onion pickle ,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Small onion pickle  is suitable for a general diet and supports neutral mood.
Green tomato pickle (Haray tamatar ka achaar),"Vegan, Vegetarian",Stressed,None,Lunch,Green tomato pickle (Haray tamatar ka achaar) is suitable for a general diet and supports neutral mood.
Pickled cabbage ,"Vegan, Vegetarian",Stressed,None,Snack,Pickled cabbage  is suitable for a general diet and supports neutral mood.
Coconut pickle (Nariyal ka aachar),"Vegan, Vegetarian",Stressed,None,Breakfast,Coconut pickle (Nariyal ka aachar) is suitable for a general diet and supports neutral mood.
Potato pickle (Aloo ka achaar),Vegetarian,Happy,None,Breakfast,Potato pickle (Aloo ka achaar) is suitable for a vegetarian diet and supports neutral mood.
Mango murabba candy,"Vegan, Vegetarian",Depressed Mood,None,Snack,Mango murabba candy is suitable for a general diet and supports depressed mood.
Afghani chicken,Keto,Depressed Mood,None,Snack,Afghani chicken is suitable for a keto diet and supports neutral mood.
Fish orly,"Keto, Mediterranean, Pescatarian",Stressed,Seafood / Shellfish,Breakfast,"Fish orly is suitable for a keto, pescatarian diet and supports neutral mood."
Hariyali Fish Tikka,"Keto, Mediterranean, Pescatarian",Stressed,Seafood / Shellfish,Lunch,"Hariyali Fish Tikka is suitable for a keto, pescatarian diet and supports neutral mood."
Chicken manchurian,Keto,Craving,None,Breakfast,Chicken manchurian is suitable for a keto diet and supports neutral mood.
Handi chicken,Keto,Energetic & Calm,None,Breakfast,Handi chicken is suitable for a keto diet and supports neutral mood.
Lemon chicken,Keto,Happy,None,Lunch,Lemon chicken is suitable for a keto diet and supports neutral mood.
Lemon butter fish,"Keto, Mediterranean, Pescatarian",Craving,"Lactose / Dairy, Seafood / Shellfish",Dinner,"Lemon butter fish is suitable for a keto, pescatarian diet and supports neutral mood."
Baked eggs in tomato sauce,Keto,Energetic & Calm,Eggs,Dinner,Baked eggs in tomato sauce is suitable for a keto diet and supports neutral mood.
Egg in a pepper,Keto,Stressed,Eggs,Snack,Egg in a pepper is suitable for a keto diet and supports neutral mood.
Spinach mushroom scrambled egg (Palak mushroom bhurji),Keto,Energetic & Calm,Eggs,Breakfast,Spinach mushroom scrambled egg (Palak mushroom bhurji) is suitable for a keto diet and supports neutral mood.
Corn omelette/omlet,"Vegan, Vegetarian",Craving,None,Snack,Corn omelette/omlet is suitable for a general diet and supports neutral mood.
Cajun chicken,Keto,Craving,None,Dinner,Cajun chicken is suitable for a keto diet and supports neutral mood.
Paaner do pyaza,"Vegan, Vegetarian",Stressed,None,Dinner,Paaner do pyaza is suitable for a general diet and supports neutral mood.
Cabbage manchurian (Pattagobhi manchurian),"Vegan, Vegetarian",Happy,None,Dinner,Cabbage manchurian (Pattagobhi manchurian) is suitable for a general diet and supports neutral mood.
Gobi 65,Vegetarian,Happy,None,Dinner,Gobi 65 is suitable for a vegetarian diet and supports neutral mood.
Paneer lababdar,"Keto, Vegetarian",Stressed,Lactose / Dairy,Snack,"Paneer lababdar is suitable for a keto, vegetarian diet and supports neutral mood."
Roasted cauliflower steak,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Roasted cauliflower steak is suitable for a general diet and supports energetic & calm.
Sauteed radishes with green beans,"Vegan, Vegetarian",Happy,None,Dinner,Sauteed radishes with green beans is suitable for a general diet and supports neutral mood.
Garlic chutney/Poondu chutney (Lahasun ki chutney),"Vegan, Vegetarian",Stressed,None,Lunch,Garlic chutney/Poondu chutney (Lahasun ki chutney) is suitable for a general diet and supports neutral mood.
Schezwan chutney,"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Schezwan chutney is suitable for a general diet and supports neutral mood.
Onion chutney (Pyaaz ki chutney/Vengaya chutney),"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Onion chutney (Pyaaz ki chutney/Vengaya chutney) is suitable for a general diet and supports neutral mood.
Dates chutney (Khajoor ki chutney),"Vegan, Vegetarian",Tired & Anxious,None,Lunch,Dates chutney (Khajoor ki chutney) is suitable for a general diet and supports tired & anxious.
Chicken salad,Keto,Energetic & Calm,None,Snack,Chicken salad is suitable for a keto diet and supports neutral mood.
Macaroni salad,"Vegan, Vegetarian",Stressed,None,Breakfast,Macaroni salad is suitable for a general diet and supports neutral mood.
Cabbage raita (Pattagobhi raita),"Vegan, Vegetarian",Stressed,None,Snack,Cabbage raita (Pattagobhi raita) is suitable for a general diet and supports neutral mood.
Pomegranate raita (Anaar ka raita),"Vegan, Vegetarian",Craving,None,Lunch,Pomegranate raita (Anaar ka raita) is suitable for a general diet and supports neutral mood.
Onion raita (Pyaaz ka raita),"Vegan, Vegetarian",Happy,None,Dinner,Onion raita (Pyaaz ka raita) is suitable for a general diet and supports neutral mood.
Green chilli raita (Hari mirch ka raita),"Vegan, Vegetarian",Happy,None,Lunch,Green chilli raita (Hari mirch ka raita) is suitable for a general diet and supports neutral mood.
Kale salad,"Vegan, Vegetarian",Depressed Mood,None,Snack,Kale salad is suitable for a general diet and supports neutral mood.
Spinach and paneer souffle ,"Keto, Vegetarian",Depressed Mood,Lactose / Dairy,Breakfast,"Spinach and paneer souffle  is suitable for a keto, vegetarian diet and supports neutral mood."
Masala souffle ,"Vegan, Vegetarian",Stressed,None,Breakfast,Masala souffle  is suitable for a general diet and supports neutral mood.
Chicken and cheese souffle,"Keto, Vegetarian",Craving,Lactose / Dairy,Breakfast,"Chicken and cheese souffle is suitable for a keto, vegetarian diet and supports neutral mood."
Tamarind chutney (Chintapandu pachadi/Puli chutney),"Vegan, Vegetarian",Craving,None,Dinner,Tamarind chutney (Chintapandu pachadi/Puli chutney) is suitable for a general diet and supports neutral mood.
Pav bhaji masala,"Vegan, Vegetarian",Craving,None,Breakfast,Pav bhaji masala is suitable for a general diet and supports neutral mood.
Green chutney,"Vegan, Vegetarian",Stressed,None,Dinner,Green chutney is suitable for a general diet and supports neutral mood.
Sago khitchdi/khichri (Sabudana khitchdi/khichri),"Vegan, Vegetarian",Craving,None,Snack,Sago khitchdi/khichri (Sabudana khitchdi/khichri) is suitable for a general diet and supports neutral mood.
Gram flour chilla/cheela (Besan chilla/cheela),"Vegan, Vegetarian",Depressed Mood,None,Dinner,Gram flour chilla/cheela (Besan chilla/cheela) is suitable for a general diet and supports neutral mood.
Vegetable namkeen jave,Vegan,Balanced Mood,None,Snack,Vegetable namkeen jave is suitable for a vegan diet and supports balanced mood.
Khakhra,"Vegan, Vegetarian",Craving,None,Lunch,Khakhra is suitable for a general diet and supports neutral mood.
Moong bean dosa (Pesarattu),"Vegan, Vegetarian",Craving,None,Breakfast,Moong bean dosa (Pesarattu) is suitable for a general diet and supports neutral mood.
Methi thepla,"Vegan, Vegetarian",Stressed,None,Lunch,Methi thepla is suitable for a general diet and supports neutral mood.
Rice puttu (Ari puttu),Vegan,Balanced Mood,None,Lunch,Rice puttu (Ari puttu) is suitable for a vegan diet and supports balanced mood.
Buckwheat pancake (Khura),"Vegan, Vegetarian",Energetic & Calm,Gluten,Dinner,Buckwheat pancake (Khura) is suitable for a general diet and supports neutral mood.
Quinoa khichdi/khichri,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Quinoa khichdi/khichri is suitable for a general diet and supports neutral mood.
Khakhra chaat,"Vegan, Vegetarian",Craving,None,Snack,Khakhra chaat is suitable for a general diet and supports neutral mood.
Banana appam,"Vegan, Vegetarian",Tired & Anxious,None,Snack,Banana appam is suitable for a general diet and supports tired & anxious.
Veg manchurian,"Vegan, Vegetarian",Happy,None,Snack,Veg manchurian is suitable for a general diet and supports neutral mood.
Pav bhaji,"Vegan, Vegetarian",Craving,None,Lunch,Pav bhaji is suitable for a general diet and supports neutral mood.
Rice murukku,Vegan,Balanced Mood,None,Lunch,Rice murukku is suitable for a vegan diet and supports balanced mood.
Bhel puri ,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Bhel puri  is suitable for a general diet and supports neutral mood.
Semolina dhokla (Suji/Rava dhokla),"Vegan, Vegetarian",Happy,None,Dinner,Semolina dhokla (Suji/Rava dhokla) is suitable for a general diet and supports neutral mood.
Spicy corn chaat ,"Vegan, Vegetarian",Craving,None,Snack,Spicy corn chaat  is suitable for a general diet and supports neutral mood.
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),Vegan,Depressed Mood,None,Snack,Jackfruit fritters (Ponsa mulik/Kathal ka pakora) is suitable for a vegan diet and supports depressed mood.
Banana chips (Kele ke chips),"Vegan, Vegetarian",Tired & Anxious,None,Dinner,Banana chips (Kele ke chips) is suitable for a general diet and supports tired & anxious.
Wheat cake,"Vegan, Vegetarian",Energetic & Calm,Gluten,Dinner,Wheat cake is suitable for a general diet and supports neutral mood.
Mango cheesecake,Vegetarian,Depressed Mood,Lactose / Dairy,Breakfast,Mango cheesecake is suitable for a vegetarian diet and supports depressed mood.
Carrot cake (Gajar ka cake),"Vegan, Vegetarian",Craving,None,Breakfast,Carrot cake (Gajar ka cake) is suitable for a general diet and supports neutral mood.
Semolina cake (Suji/Rava cake),"Vegan, Vegetarian",Depressed Mood,None,Snack,Semolina cake (Suji/Rava cake) is suitable for a general diet and supports neutral mood.
Finger millet cake (Ragi cake),"Vegan, Vegetarian",Stressed,None,Dinner,Finger millet cake (Ragi cake) is suitable for a general diet and supports neutral mood.
Honey cake,"Vegan, Vegetarian",Happy,None,Lunch,Honey cake is suitable for a general diet and supports neutral mood.
Almond cardamom cake (Badam elaichi cake),Keto,Tired & Anxious,Nuts,Lunch,Almond cardamom cake (Badam elaichi cake) is suitable for a keto diet and supports tired & anxious.
Tutti frutti cake,"Vegan, Vegetarian",Happy,None,Snack,Tutti frutti cake is suitable for a general diet and supports neutral mood.
Ham and Bean soup,"Vegan, Vegetarian",Craving,None,Snack,Ham and Bean soup is suitable for a general diet and supports neutral mood.
Whey soup,"Vegan, Vegetarian",Happy,None,Dinner,Whey soup is suitable for a general diet and supports neutral mood.
Bottle gourd soup (Ghiya/Lauki soup),"Vegan, Vegetarian",Energetic & Calm,None,Snack,Bottle gourd soup (Ghiya/Lauki soup) is suitable for a general diet and supports neutral mood.
Baked potato soup,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Baked potato soup is suitable for a general diet and supports neutral mood.
Pumpkin soup,"Vegan, Vegetarian",Happy,None,Snack,Pumpkin soup is suitable for a general diet and supports neutral mood.
Sweet corn soup,"Vegan, Vegetarian",Happy,None,Lunch,Sweet corn soup is suitable for a general diet and supports neutral mood.
Paneer soup,"Keto, Vegetarian",Stressed,Lactose / Dairy,Snack,"Paneer soup is suitable for a keto, vegetarian diet and supports neutral mood."
Curried Cauliflower soup,"Vegan, Vegetarian",Stressed,None,Breakfast,Curried Cauliflower soup is suitable for a general diet and supports neutral mood.
Millet soup,"Vegan, Vegetarian",Happy,None,Breakfast,Millet soup is suitable for a general diet and supports neutral mood.
Lemon coriander soup,"Vegan, Vegetarian",Happy,None,Breakfast,Lemon coriander soup is suitable for a general diet and supports neutral mood.
Garlic soup,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Garlic soup is suitable for a general diet and supports neutral mood.
Dal makhani,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Dal makhani is suitable for a vegan, vegetarian diet and supports balanced mood."
Dalma,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Dalma is suitable for a vegan, vegetarian diet and supports balanced mood."
Split bengal gram dal (Channa dal),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Split bengal gram dal (Channa dal) is suitable for a vegan, vegetarian diet and supports balanced mood."
Horsegram dal (Kulthi dal) ,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Horsegram dal (Kulthi dal)  is suitable for a vegan, vegetarian diet and supports balanced mood."
Panchmel dal,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Panchmel dal is suitable for a vegan, vegetarian diet and supports balanced mood."
Dal dhokli,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Dal dhokli is suitable for a vegan, vegetarian diet and supports balanced mood."
Gujarati handvo ,"Vegan, Vegetarian",Stressed,None,Dinner,Gujarati handvo  is suitable for a general diet and supports neutral mood.
Sev (Omapodi/Karapusa),"Vegan, Vegetarian",Stressed,None,Breakfast,Sev (Omapodi/Karapusa) is suitable for a general diet and supports neutral mood.
Papdi,"Vegan, Vegetarian",Craving,None,Dinner,Papdi is suitable for a general diet and supports neutral mood.
Jowar dosa,"Vegan, Vegetarian",Happy,None,Breakfast,Jowar dosa is suitable for a general diet and supports neutral mood.
Bread roll,"Vegan, Vegetarian",Happy,Gluten,Lunch,Bread roll is suitable for a general diet and supports neutral mood.
Soya seekh kebab,Vegan,Happy,Soy,Dinner,Soya seekh kebab is suitable for a vegan diet and supports neutral mood.
Classic seasoned black beans,"Vegan, Vegetarian",Depressed Mood,Lactose / Dairy,Lunch,Classic seasoned black beans is suitable for a general diet and supports depressed mood.
Maa chaane ki dal,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Maa chaane ki dal is suitable for a vegan, vegetarian diet and supports balanced mood."
Garlic chickpea soup (Lahasun aur chane ka shoraba),"Vegan, Vegetarian",Stressed,None,Lunch,Garlic chickpea soup (Lahasun aur chane ka shoraba) is suitable for a general diet and supports neutral mood.
White sauce (thin),"Vegan, Vegetarian",Happy,None,Snack,White sauce (thin) is suitable for a general diet and supports neutral mood.
White sauce (medium),"Vegan, Vegetarian",Happy,None,Lunch,White sauce (medium) is suitable for a general diet and supports neutral mood.
White sauce (thick),"Vegan, Vegetarian",Craving,None,Breakfast,White sauce (thick) is suitable for a general diet and supports neutral mood.
Cheese sauce,Vegetarian,Happy,Lactose / Dairy,Lunch,Cheese sauce is suitable for a vegetarian diet and supports neutral mood.
Egg sauce,Keto,Stressed,Eggs,Lunch,Egg sauce is suitable for a keto diet and supports neutral mood.
Mushroom sauce,"Vegan, Vegetarian",Stressed,None,Snack,Mushroom sauce is suitable for a general diet and supports neutral mood.
Mustard sauce,"Vegan, Vegetarian",Depressed Mood,None,Snack,Mustard sauce is suitable for a general diet and supports neutral mood.
Brown sauce,"Vegan, Vegetarian",Stressed,None,Lunch,Brown sauce is suitable for a general diet and supports neutral mood.
Classic italian pasta,"Vegan, Vegetarian",Depressed Mood,Lactose / Dairy,Breakfast,Classic italian pasta is suitable for a general diet and supports depressed mood.
Pasta spinach sauce,"Vegan, Vegetarian",Happy,None,Dinner,Pasta spinach sauce is suitable for a general diet and supports neutral mood.
Pasta cheese sauce,Vegetarian,Happy,Lactose / Dairy,Breakfast,Pasta cheese sauce is suitable for a vegetarian diet and supports neutral mood.
Mayonnaise,"Vegan, Vegetarian",Depressed Mood,None,Snack,Mayonnaise is suitable for a general diet and supports neutral mood.
Low calorie quick mayonnaise,"Vegan, Vegetarian",Happy,None,Lunch,Low calorie quick mayonnaise is suitable for a general diet and supports neutral mood.
Thousand island dressing,"Vegan, Vegetarian",Stressed,None,Dinner,Thousand island dressing is suitable for a general diet and supports neutral mood.
Curd dip,Vegetarian,Depressed Mood,Lactose / Dairy,Snack,Curd dip is suitable for a vegetarian diet and supports depressed mood.
Short crust pastry,"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Short crust pastry is suitable for a general diet and supports neutral mood.
Choux pastry,"Vegan, Vegetarian",Happy,None,Snack,Choux pastry is suitable for a general diet and supports neutral mood.
Flaky pastry,"Vegan, Vegetarian",Craving,None,Dinner,Flaky pastry is suitable for a general diet and supports neutral mood.
